CODIGO;NOMBRE;ACTIVA;MTP;MTC
9352;ARGENTA CERAMICA;T;66;66
9353;CICOGRES;T;66;66
9354;VILAR ALBARO;T;70;70
9355;LOVE CERAMICA;T;70;70
9356;TODANATTO ;T;66;66
9357;CINCA;T;70;70
9358;APE CERAMICA;T;66;66
9359;NAXOS-CENTURY;T;66;66
9360;LA PLATERA;T;66;66
9361;MARKET&DEGRE;T;66;66
9362;VENUS CERAMICA;T;66;66
9363;AZUVI;T;66;66
9364;APARICI PORCELANICO;T;60;60
9365;AMERICAN TILES;T;66;66
9366;IBEROALCORENSE;T;66;66
9367;AZULEV;T;66;66
9368;MAXIME CERAMICA;T;66;66
9369;AZULEV - SANCHIS;T;66;66
9370;AZTECA;T;66;66
9371;FABRESA;T;70;70
9372;HALCON;T;66;66
9373;ONICE ;T;66;66
9374;REALONDA;T;66;66
9375;PERONDA;T;66;66
9376;FANAL;T;66;66
9377;GRES DE ALLOZA;T;66;52
9378;ANJASORA / PEDRA LAMINADA;T;52;42
9379;SIERRAGRES;T;66;52
9380;ARCE - COMPRA MAIG 09;T;100;100
9381;CIFRE MAYO 10;T;100;100
9382;ECOCERAMIC;T;66;66
9383;KEROS CERAMICA;T;66;66
9384;AZULEJOS BENADRESA;T;66;66
9385;GRESPOR-PAVIGRES;T;66;66
9386;EL MOLINO;T;66;66
9387;LIVING CERAMICS;T;66;66
9388;RECER;T;66;66
9389;NOVOGRES;T;66;66
9390;ALCALAGRES;T;85;62
9391;LOTUS CERAMICA;T;66;66
9392;PORSIXTY;T;66;66
9393;PORCELANOSA;T;66,66;33,33
9394;VENIS;T;66,66;33,33
9395;URBATEK - L'ANTIC;T;66,66;33,33
9396;NIRO GRANITE;T;66;66
9397;ZIRCONIO;T;66;50
9398;DONNAKER;T;66;66
9399;MARCA CORONA 1741;T;70;70
9401;RINCON ANDALUZ;T;62;62
9403;FUENTES/RINC.ANDALUZ;T;60;60
9404;CERAMICHE PIEMME ;T;80;53
9405;EMIL-PROVENZA;T;80;53
9406;VIVA;T;80;53
9407;CIPA;T;55;55
9408;ROCERSA;T;66;66
9409;KERATILE;T;70;70
9410;ALAPLANA;T;70;70
9411;CASA INFINITA;T;66;66
9412;EMOTION CERAMICS;T;70;70
9413;LITICA;T;66;66
9414;NEWKER;T;66;66
9415;LAND PORCELANICO;T;60;60
9416;PORCELANITE;T;66;66
9417;ETILE CERAMICA;T;66;66
9418;PRACTIKAL;T;66;66
9419;NEW TILE;T;70;70
9420;PAREFEUILLE PROVENCE;T;66;66
9421;NADIS;T;66;66
9422;MAGNIFICA COLLECTION;T;66;66
9423;CODICER ;T;66;66
9424;MIJARES;T;66;66
9425;THRE3;T;66;66
9426;VITACER;T;70;70
9427;LV GRANITO;T;70;70
9428;ROCK CERAMIC;T;70;70
9429;EXT CERAMICA;T;85;62
9430;ROSAGRES;T;66;66
9431;MAYOR;T;66;66
9432;ITT CERAMIC;T;70;70
9433;SMALL SIZE;T;66;66
9434;CRISTACER;T;66;66
9435;SIGNO by KB;T;70;70
9436;PISSANO;T;85;62
9437;DECUS;T;66;66
9438;REVOIR PARIS - DNAtiles;T;66;66
9439;CERAMICA ELIAS (ESMALTADOS);T;66;66
9440;EMIGRES;T;85;62
9441;ACUARIO CERAMICA;T;70;70
9442;MAYOLICA;T;66;66
9443;PROCONCEPT;T;66;66
9444;VILLA CERAMICA;T;70;70
9445;ESARMEX;T;70;70
9446;MYTHAGE;T;66;66
9447;GRESART;T;70;70
9448;ALELUIA ;T;70;70
9452;ARGENTA RAW SLIMM;T;66;66
9461;STAR CERAMICA;T;66;66
9480;VOGUE;T;66;66
9481;TOPCER;T;66;66
9482;PRIMUS VICTORIA;T;70;70
9490;ALFA LUX;T;66;66
9498;ALTERET;T;66;66
9501;RODAPIE SURTIDOS;T;66;66
9502;CERAMICA ALEJANDRES;T;105;100
9506;GRES GIRONA;T;66;66
9507;MAXIMA CERAMICA;T;66;66
9508;KANELA;T;75;66
9509;PZAS ESPECIALES COLORKER;T;70;70
9511;PZAS ESPECIALES VIVES;T;66;66
9512;BASES+PZAS ESPECIALES UNDEFASA;T;100;60
9513;DETALLES - DUNE;T;66;66
9514;PZAS ESPECIALES VARIOS;T;85;76
9515;PZAS ESPECIALES TAU;T;66;66
9516;PINTDECOR;T;85;77
9518;LISTELOS NEXO-KERABEN;T;125;100
9520;MURALES DECOR.SUSAN;T;110;100
9521;PZAS ESPECIALES EQUIPE;T;71;71
9524;ESTILKER;T;120;100
9525;INTERMATEX;T;70;70
9701;VILLEROY BY TAU;T;66;66
9800;IMPERHOUSE ;T;100;100
9999;ALTRES;T;60;60
